,KOSPI 200 ─▌┐╔╝╟ 1811 277.5,,,,,,,,,,,,,,,,,,,,,,
╜├░г,╟Ў└ч░б,╡ю╢Ї└▓,╡ю╢Ї▒╕║╨,░┼╖б╖о,├╝░с╜├░г,├╝░с╖о,├╝░с╝║╟т,░┼╖б┤ы▒▌,├╝░с░н╡╡,╣╠░с┴ж╛р┴д╝Ў╖о,├╝░с╣°╚г,┤ы║ё,├╝░с╕┼╝Ў╚г░б,├╝░с╕┼╡╡╚г░б,├╝░с╣╠░с┴ж╛р┴д╝Ў╖о,├╝░с┐ь╝▒╚г░б╕┼╡╡░╟╝Ў,├╝░с┐ь╝▒╚г░б╕┼╡╡└▄╖о,├╝░с┐ь╝▒╚г░б╕┼╝Ў░╟╝Ў,├╝░с┐ь╝▒╚г░б╕┼╝Ў└▄╖о,├╝░с5╚г░б╕┼╡╡░╟╝Ў,├╝░с5╚г░б╕┼╡╡└▄╖о,├╝░с5╚г░б╕┼╝Ў░╟╝Ў,├╝░с5╚г░б╕┼╝Ў└▄╖о
43390.37844,5.7,25.55,бу  ,246,43412.37844,1,S  ,359758000,0,5728,82,1.16,5.7,5.76,5728,1,4,2,7,8,41,10,72
43390.37855,5.8,27.75,бу  ,247,43412.37855,1,B  ,361208000,51.61,5730,83,1.26,5.76,5.8,5730,1,3,2,10,6,38,9,53
43390.37855,5.8,27.75,бу  ,248,43412.37855,1,B  ,362658000,52.26,5730,84,1.26,5.77,5.8,5730,1,2,1,4,5,43,8,41
43390.37855,5.8,27.75,бу  ,249,43412.37855,1,B  ,364108000,52.9,5730,85,1.26,5.77,5.8,5730,1,1,1,4,5,42,7,37
43390.37855,5.8,27.75,бу  ,250,43412.37855,1,B  ,365558000,53.55,5730,86,1.26,5.77,5.8,5730,1,1,1,4,5,42,7,37
43390.37855,5.77,27.09,бу  ,251,43412.37855,1,S  ,367000000,53.21,5730,87,1.23,5.77,5.84,5730,1,4,1,3,6,49,6,30
43390.37855,5.78,27.31,бу  ,252,43412.37855,1,S  ,368445000,52.87,5730,88,1.24,5.78,5.84,5730,1,4,1,1,6,49,6,18
43390.37875,5.86,29.07,бу  ,253,43412.37875,1,SS ,369910000,52.53,5725,89,1.32,5.84,5.88,5725,1,1,3,11,6,45,11,57
43390.37884,5.75,26.65,бу  ,254,43412.37884,1,SS ,371348000,52.2,5726,90,1.21,5.72,5.78,5726,2,8,2,6,9,58,7,55
43390.37906,5.77,27.09,бу  ,255,43412.37906,1,S  ,372790000,51.88,5725,91,1.23,5.77,5.82,5725,1,4,1,3,6,38,9,50
43390.37909,5.82,28.19,бу  ,259,43412.37909,4,BB ,378610000,54.38,5725,92,1.28,5.78,5.84,5725,1,4,2,10,6,56,8,39
43390.37914,5.77,27.09,бу  ,260,43412.37914,1,S  ,380053000,54.04,5724,93,1.23,5.78,5.84,5724,1,4,1,1,7,44,7,41
43390.37926,5.72,25.99,бу  ,261,43412.37926,1,B  ,381483000,54.66,5719,94,1.18,5.68,5.72,5719,1,3,1,8,6,23,8,56
43390.37926,5.72,25.99,бу  ,262,43412.37926,1,B  ,382913000,55.28,5719,95,1.18,5.68,5.72,5719,1,2,1,8,6,22,8,56
43390.37929,5.68,25.11,бу  ,264,43412.37929,2,S  ,385753000,54.6,5719,96,1.14,5.68,5.72,5719,2,6,1,2,8,38,5,38
43390.37936,5.67,24.89,бу  ,265,43412.37936,1,S  ,387170000,54.27,5719,97,1.13,5.67,5.7,5719,1,4,1,3,6,32,8,51
43390.37936,5.67,24.89,бу  ,267,43412.37936,2,S  ,390005000,53.61,5719,98,1.13,5.67,5.7,5719,1,4,1,1,6,32,7,45
43390.37971,5.7,25.55,бу  ,268,43412.37971,1,S  ,391430000,53.29,5721,99,1.16,5.7,5.76,5721,1,4,1,7,8,53,7,47
43390.37981,5.72,25.99,бу  ,269,43412.37981,1,S  ,392860000,52.98,5721,100,1.18,5.72,5.78,5721,1,4,1,3,7,41,6,49
43390.37986,5.8,27.75,бу  ,271,43412.37986,2,BB ,395760000,54.17,5721,101,1.26,5.73,5.83,5721,1,5,1,5,5,53,6,49
43390.38001,5.81,27.97,бу  ,272,43412.38001,1,BB ,397213000,54.76,5719,102,1.27,5.78,5.84,5719,1,5,1,1,5,53,8,36
43390.38003,5.81,27.97,бу  ,273,43412.38003,1,SS ,398665000,54.44,5719,103,1.27,5.79,5.83,5719,1,1,1,1,5,22,6,29
43390.38013,5.82,28.19,бу  ,274,43412.38013,1,BB ,400120000,55.03,5720,104,1.28,5.8,5.83,5720,1,1,1,1,5,32,6,18
43390.38028,5.88,29.52,бу  ,275,43412.38028,1,BB ,401590000,55.62,5718,105,1.34,5.84,5.89,5718,1,1,1,1,6,32,7,44
43390.38028,5.89,29.74,бу  ,276,43412.38028,1,BB ,403063000,56.21,5718,106,1.35,5.84,5.9,5718,2,2,1,1,7,45,7,44
43390.38031,5.86,29.07,бу  ,277,43412.38031,1,S  ,404528000,55.88,5718,107,1.32,5.84,5.9,5718,1,2,1,1,6,33,6,21
43390.38031,5.85,28.85,бу  ,278,43412.38031,1,SS ,405990000,55.56,5718,108,1.31,5.84,5.88,5718,1,1,1,1,6,22,7,44
43390.38031,5.84,28.63,бу  ,279,43412.38031,1,SS ,407450000,55.23,5718,109,1.3,5.82,5.88,5718,1,1,2,6,6,22,7,55
43390.38043,5.85,28.85,бу  ,280,43412.38043,1,SS ,408913000,54.91,5719,110,1.31,5.84,5.9,5719,2,2,2,3,7,45,8,35
43390.38074,5.9,29.96,бу  ,285,43412.38074,5,B  ,416288000,57.8,5718,111,1.36,5.88,5.9,5718,2,2,1,4,7,45,8,15
43390.38074,5.9,29.96,бу  ,286,43412.38074,1,B  ,417763000,58.38,5718,112,1.36,5.88,5.9,5718,1,1,1,4,6,44,8,15
